URL	TYPE	TIMEFRAME
https://www.wga.hu/html/a/aachen/allegory.html	mythological	1601-1650
https://www.wga.hu/html/a/aachen/bacchus.html	mythological	1601-1650
https://www.wga.hu/html/a/aachen/j_couple.html	genre	1601-1650
https://www.wga.hu/html/a/aachen/rudolf2.html	portrait	1601-1650
https://www.wga.hu/html/a/aachen/selfport.html	portrait	1601-1650
https://www.wga.hu/html/a/aagaard/deerlake.html	landscape	1851-1900
https://www.wga.hu/html/a/aagaard/rosegard.html	landscape	1851-1900
https://www.wga.hu/html/a/abadia/michael.html	religious	1451-1500
https://www.wga.hu/html/a/abaquesn/albarell.html	other	1501-1550
https://www.wga.hu/html/a/abaquesn/floor1.html	other	1501-1550
https://www.wga.hu/html/a/abaquesn/floor2.html	other	1501-1550
https://www.wga.hu/html/a/abaquesn/theflood.html	religious	1501-1550
https://www.wga.hu/html/a/abbate/chimney1.html	other	1501-1550
https://www.wga.hu/html/a/abbate/chimney2.html	other	1501-1550
https://www.wga.hu/html/a/abbate/deerhunt.html	landscape	1501-1550
https://www.wga.hu/html/a/abbate/orpheus.html	mythological	1501-1550
https://www.wga.hu/html/a/abbate/proserpi.html	mythological	1501-1550
https://www.wga.hu/html/a/abbate/scipio.html	mythological	1501-1550
https://www.wga.hu/html/a/abbati/abbati1.html	landscape	1851-1900
https://www.wga.hu/html/a/abbati/abbati2.html	landscape	1851-1900
https://www.wga.hu/html/a/abbati/abbati3.html	landscape	1851-1900
https://www.wga.hu/html/a/abbati/abbati4.html	portrait	1851-1900
https://www.wga.hu/html/a/abbatini/cornaro.html	religious	1601-1650
https://www.wga.hu/html/a/abeele/commemo1.html	historical	1601-1650
https://www.wga.hu/html/a/abeele/commemo2.html	historical	1601-1650
https://www.wga.hu/html/a/abeele/william3.html	historical	1601-1650
https://www.wga.hu/html/a/abildgaa/andria1.html	mythological	1751-1800
https://www.wga.hu/html/a/abildgaa/andria2.html	mythological	1751-1800
https://www.wga.hu/html/a/abildgaa/culmingh.html	other	1751-1800
