HTML	TYPE	DATE
https://www.wga.hu/html/a/aachen/allegory.jpg	mythological	1601-1650
https://www.wga.hu/html/a/aachen/bacchus.jpg	mythological	1601-1650
https://www.wga.hu/html/a/aachen/j_couple.jpg	genre	1601-1650
https://www.wga.hu/html/a/aachen/rudolf2.jpg	portrait	1601-1650
https://www.wga.hu/html/a/aachen/selfport.jpg	portrait	1601-1650
https://www.wga.hu/html/a/aagaard/deerlake.jpg	landscape	1851-1900
https://www.wga.hu/html/a/aagaard/rosegard.jpg	landscape	1851-1900
https://www.wga.hu/html/a/abadia/michael.jpg	religious	1451-1500
https://www.wga.hu/html/a/abaquesn/albarell.jpg	other	1501-1550
https://www.wga.hu/html/a/abaquesn/floor1.jpg	other	1501-1550
https://www.wga.hu/html/a/abaquesn/floor2.jpg	other	1501-1550
https://www.wga.hu/html/a/abaquesn/theflood.jpg	religious	1501-1550
https://www.wga.hu/html/a/abbate/chimney1.jpg	other	1501-1550
https://www.wga.hu/html/a/abbate/chimney2.jpg	other	1501-1550
https://www.wga.hu/html/a/abbate/deerhunt.jpg	landscape	1501-1550
https://www.wga.hu/html/a/abbate/orpheus.jpg	mythological	1501-1550
https://www.wga.hu/html/a/abbate/proserpi.jpg	mythological	1501-1550
https://www.wga.hu/html/a/abbate/scipio.jpg	mythological	1501-1550
https://www.wga.hu/html/a/abbati/abbati1.jpg	landscape	1851-1900
https://www.wga.hu/html/a/abbati/abbati2.jpg	landscape	1851-1900
https://www.wga.hu/html/a/abbati/abbati3.jpg	landscape	1851-1900
https://www.wga.hu/html/a/abbati/abbati4.jpg	portrait	1851-1900
https://www.wga.hu/html/a/abbatini/cornaro.jpg	religious	1601-1650
https://www.wga.hu/html/a/abeele/commemo1.jpg	historical	1601-1650
https://www.wga.hu/html/a/abeele/commemo2.jpg	historical	1601-1650
https://www.wga.hu/html/a/abeele/william3.jpg	historical	1601-1650
https://www.wga.hu/html/a/abildgaa/andria1.jpg	mythological	1751-1800
