HTML	TYPE	DATE
https://www.wga.hu/html/a/aachen/rudolf2.jpg	portrait	1601-1650
https://www.wga.hu/html/a/aachen/selfport.jpg	portrait	1601-1650
https://www.wga.hu/html/a/aagaard/deerlake.jpg	landscape	1851-1900
https://www.wga.hu/html/a/aagaard/rosegard.jpg	landscape	1851-1900
https://www.wga.hu/html/a/abbate/deerhunt.jpg	landscape	1501-1550
https://www.wga.hu/html/a/abbati/abbati1.jpg	landscape	1851-1900
https://www.wga.hu/html/a/abbati/abbati2.jpg	landscape	1851-1900
https://www.wga.hu/html/a/abbati/abbati3.jpg	landscape	1851-1900
https://www.wga.hu/html/a/abbati/abbati4.jpg	portrait	1851-1900
https://www.wga.hu/html/a/abondio/maximili.jpg	portrait	1551-1600
https://www.wga.hu/html/a/achenbac/firework.jpg	landscape	1851-1900
https://www.wga.hu/html/a/adam/lambert/selfport.jpg	portrait	1701-1750
https://www.wga.hu/html/a/adam-sal/pereire.jpg	portrait	1851-1900
https://www.wga.hu/html/a/adler/selfport.jpg	portrait	1651-1700
https://www.wga.hu/html/a/adriaens/fishgame.jpg	still-life	1601-1650
https://www.wga.hu/html/a/adriaens/stilfish.jpg	still-life	1601-1650
https://www.wga.hu/html/a/adriaens/stilflow.jpg	still-life	1601-1650
https://www.wga.hu/html/a/adriaens/stillife.jpg	still-life	1601-1650
https://www.wga.hu/html/a/adriaens/stiloyst.jpg	still-life	1601-1650
https://www.wga.hu/html/a/adriano/frederic.jpg	portrait	1451-1500
https://www.wga.hu/html/a/adriano/medal.jpg	portrait	1451-1500
https://www.wga.hu/html/a/adriano/pontano1.jpg	portrait	1451-1500
https://www.wga.hu/html/a/adriano/pontano2.jpg	portrait	1451-1500
https://www.wga.hu/html/a/adriano/pontano3.jpg	portrait	1451-1500
https://www.wga.hu/html/a/aelst/breakfas.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/deadbird.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/hunting2.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/hunting.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stilbask.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stilflow.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stilfrui.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stil_fru.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/still_fr.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stillfru.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stillife.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stilliff.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stillif.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/still_li.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stillpar.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stillpea.jpg	still-life	1651-1700
