HTML	TYPE	DATE
https://www.wga.hu/html/a/aachen/rudolf2.jpg	portrait	1601-1650
https://www.wga.hu/html/a/aachen/selfport.jpg	portrait	1601-1650
https://www.wga.hu/html/a/aagaard/deerlake.jpg	landscape	1851-1900
https://www.wga.hu/html/a/aagaard/rosegard.jpg	landscape	1851-1900
https://www.wga.hu/html/a/abadia/michael.jpg	religious	1451-1500
https://www.wga.hu/html/a/abaquesn/theflood.jpg	religious	1501-1550
https://www.wga.hu/html/a/abbate/deerhunt.jpg	landscape	1501-1550
https://www.wga.hu/html/a/abbati/abbati1.jpg	landscape	1851-1900
https://www.wga.hu/html/a/abbati/abbati2.jpg	landscape	1851-1900
https://www.wga.hu/html/a/abbati/abbati3.jpg	landscape	1851-1900
https://www.wga.hu/html/a/abbati/abbati4.jpg	portrait	1851-1900
https://www.wga.hu/html/a/abbatini/cornaro.jpg	religious	1601-1650
https://www.wga.hu/html/a/abildgaa/z_adamev.jpg	religious	1751-1800
https://www.wga.hu/html/a/abondio/maximili.jpg	portrait	1551-1600
https://www.wga.hu/html/a/achenbac/firework.jpg	landscape	1851-1900
https://www.wga.hu/html/a/adam/lambert/selfport.jpg	portrait	1701-1750
https://www.wga.hu/html/a/adam/nicolas/martyrdo.jpg	religious	1701-1750
https://www.wga.hu/html/a/adam/nicolas/opalinsk.jpg	religious	1701-1750
https://www.wga.hu/html/a/adam/nicolas/opalinsx.jpg	religious	1701-1750
https://www.wga.hu/html/a/adam-sal/pereire.jpg	portrait	1851-1900
https://www.wga.hu/html/a/ademollo/ark2.jpg	religious	1801-1850
https://www.wga.hu/html/a/ademollo/ark3.jpg	religious	1801-1850
https://www.wga.hu/html/a/ademollo/ark.jpg	religious	1801-1850
https://www.wga.hu/html/a/adler/selfport.jpg	portrait	1651-1700
https://www.wga.hu/html/a/adriaens/fishgame.jpg	still-life	1601-1650
https://www.wga.hu/html/a/adriaens/stilfish.jpg	still-life	1601-1650
https://www.wga.hu/html/a/adriaens/stilflow.jpg	still-life	1601-1650
https://www.wga.hu/html/a/adriaens/stillife.jpg	still-life	1601-1650
https://www.wga.hu/html/a/adriaens/stiloyst.jpg	still-life	1601-1650
https://www.wga.hu/html/a/adriano/frederic.jpg	portrait	1451-1500
https://www.wga.hu/html/a/adriano/medal.jpg	portrait	1451-1500
https://www.wga.hu/html/a/adriano/pontano1.jpg	portrait	1451-1500
https://www.wga.hu/html/a/adriano/pontano2.jpg	portrait	1451-1500
https://www.wga.hu/html/a/adriano/pontano3.jpg	portrait	1451-1500
https://www.wga.hu/html/a/aelst/breakfas.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/deadbird.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/hunting2.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/hunting.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stilbask.jpg	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stilflow.jpg	still-life	1651-1700
